track_name,peak_pos,streak,wks_on_chart
mad woman,47,,1
Christmas Tree Farm,59,,1
Only The Young,50,,1
Sweeter Than Fiction,34,,1
The Moment I Knew,64,,1
You Are In Love,83,,1
Wonderland,51,,1
Superman,26,,1
All Too Well,80,,1
State Of Grace,13,,1
I Almost Do,65,,1
Stay Stay Stay,91,,1
Last Kiss,71,,1
Long Live,85,,1
Dear John,54,,1
Never Grow Up,84,,1
Enchanted,75,,1
Better Than Revenge,56,,1
SuperStar,26,,1
Innocent,27,,1
Hey Stephen,94,,1
The Way I Loved You,72,,1
Come In With The Rain,30,,1
Breathe,87,,1
Everything Has Changed (Taylor's Version),63,,1
Stay Stay Stay (Taylor's Version),67,,1
Babe (Taylor's Version) [From The Vault],69,,1
Nothing New (Taylor's Version) [From The Vault],43,,1
Carolina,60,,1
